Municípios;Vacina;CoronaVac/Butantan;Janssen;Oxford/Fiocruz;Pfizer
TOTAL;;1.314.897;385.440;1.519.661;2.363.791
Água Clara;;10.214;1.332;7.932;14.501
Alcinópolis;;1.784;522;2.872;5.817
Amambai;;20.851;3.719;19.437;32.709
Anastácio;;8.701;2.075;13.342;21.906
Anaurilândia;;2.775;667;4.862;7.624
Angélica;;6.037;1.188;5.953;13.196
Antônio João;;4.620;3.722;3.485;8.823
Aparecida do Taboado;;13.150;2.159;14.067;28.795
Aquidauana;;24.066;4.410;29.269;42.350
Aral Moreira;;3.664;3.460;4.580;8.276
Bandeirantes;;3.861;525;3.811;6.610
Bataguassu;;11.125;2.053;10.694;26.047
Batayporã;;4.435;1.080;6.867;11.853
Bela Vista;;7.041;9.233;10.428;17.082
Bodoquena;;2.379;674;5.164;6.523
Bonito;;8.181;2.626;11.120;22.496
Brasilândia;;5.877;1.147;7.175;11.826
Caarapó;;14.368;4.380;13.701;28.779
Camapuã;;7.286;1.158;8.460;13.971
Campo Grande;;538.647;82.450;521.348;723.257
Caracol;;1.561;2.478;2.387;4.209
Cassilândia;;10.269;2.145;17.019;20.822
Chapadão do Sul;;13.264;5.534;12.339;29.203
Corguinho;;1.822;378;3.513;4.304
Coronel Sapucaia;;7.926;2.101;5.110;11.512
Corumbá;;28.147;39.536;53.692;64.001
Costa Rica;;11.199;5.245;12.393;26.830
Coxim;;13.322;3.321;22.008;31.168
Deodápolis;;6.250;1.518;7.211;12.960
Dois Irmãos do Buriti;;6.671;1.221;5.993;11.181
Douradina;;2.958;521;3.086;4.898
Dourados;;117.078;24.378;125.181;181.732
Eldorado;;3.961;1.376;6.895;12.017
Fátima do Sul;;9.127;1.737;12.897;23.652
Figueirão;;1.079;278;2.135;3.698
Glória de Dourados;;3.838;994;6.216;11.719
Guia Lopes da Laguna;;4.021;689;5.929;8.271
Iguatemi;;4.992;1.555;9.137;12.255
Inocência;;5.063;696;4.801;8.333
Itaporã;;7.317;2.109;10.711;20.063
Itaquiraí;;6.553;1.639;11.156;19.804
Ivinhema;;12.367;2.464;12.865;30.188
Japorã;;7.180;1.009;2.821;7.239
Jaraguari;;2.628;575;4.871;5.706
Jardim;;8.068;2.730;17.698;21.377
Jateí;;1.717;411;1.905;5.845
Juti;;2.892;564;4.263;6.608
Ladário;;4.945;5.859;10.847;15.046
Laguna Carapã;;3.051;1.020;3.973;6.746
Maracaju;;14.350;4.343;21.765;36.234
Miranda;;17.880;2.434;18.266;23.182
Mundo Novo;;6.055;10.579;7.399;12.434
Naviraí;;19.684;5.970;27.911;42.301
Nioaque;;5.222;1.139;8.989;12.252
Nova Alvorada do Sul;;7.966;3.429;10.544;20.189
Nova Andradina;;19.609;4.952;30.967;49.443
Novo Horizonte do Sul;;1.538;345;2.232;7.682
Paraíso das Águas;;2.801;539;2.974;5.961
Paranaíba;;21.804;3.158;28.148;38.078
Paranhos;;7.993;2.410;3.830;10.769
Pedro Gomes;;2.740;652;5.330;7.671
Ponta Porã;;24.392;56.688;39.295;58.424
Porto Murtinho;;4.813;3.775;7.036;11.476
Ribas do Rio Pardo;;8.259;2.375;11.119;22.993
Rio Brilhante;;12.475;2.885;16.186;35.031
Rio Negro;;2.422;390;2.890;5.890
Rio Verde de MT;;7.372;1.570;11.419;15.797
Rochedo;;1.937;432;3.311;5.850
Santa Rita do Pardo;;2.947;810;5.187;7.381
São Gabriel do Oeste;;12.952;3.325;14.835;30.833
Selvíria;;3.511;625;3.902;8.387
Sete Quedas;;3.278;6.498;3.991;6.793
Sidrolândia;;14.924;5.145;28.343;39.995
Sonora;;5.252;1.785;8.650;14.801
Tacuru;;6.018;872;4.481;9.767
Taquarussu;;1.578;358;2.004;4.596
Terenos;;7.453;1.618;11.510;17.023
Três Lagoas;;56.571;13.076;69.474;118.855
Vicentina;;2.773;602;4.054;9.875
